A Boy Named Suzi ,2008,Gelding,Medecis ,Classic Coral (USA),Andrew Balding,103,,,
A Bridge Too Far (IRE),2006,Gelding,Oscar (IRE),Private Rose (IRE),John Quinn,,,112,109
A Childs Dream (IRE),2011,Filly,Intense Focus (USA),Keriyka (IRE),Richard Hannon,65,,,
A Good Year (IRE),2010,Filly,Montjeu (IRE),Noble Pearl (GER),J. W. Hills,46,,,
A J Cook (IRE),2010,Gelding,Mujadil (USA),Undertone (IRE),Ron Barr,59,,,
A Ladies Man (IRE),2010,Colt,Kyllachy ,Ego ,Richard Hannon,73,,,
A Legacy of Love (IRE),2011,Filly,Sea The Stars (IRE),Nashmiah (IRE),Amanda Perrett,74,,,
A Little Bit Dusty ,2008,Gelding,Needwood Blade ,Dusty Dazzler (IRE),Conor Dore,77,,,102
A Little Swifter (IRE),2006,Filly,Noverre (USA),Swiftur ,Neil King,,,102,107
A New Rising (IRE),2002,Gelding,New Frontier (IRE),Rising Sara (IRE),M. E. Ellwood,,,73,
A Southside Boy (GER),2008,Gelding,Samum (GER),Anthurium (GER),Jim Goldie,64,,,94
A Star In My Eye (IRE),2010,Filly,Authorized (IRE),Vyatka ,Kevin Ryan,84,,,
Aachen ,2004,Gelding,Rainbow Quest (USA),Anna of Saxony ,Venetia Williams,,,128,
Aaim To Prosper (IRE),2004,Gelding,Val Royal (FR),Bint Al Balad (IRE),Brian Meehan,112,,,130
Aalim ,2010,Gelding,Nayef (USA),Anna Palariva (IRE),John Ferguson,81,,,
Aaly ,2007,Gelding,Milan ,Leyaaly ,Lydia Richards,,,,72
Aaranyow (IRE),2008,Gelding,Compton Place ,Cutpurse Moll ,Clifford Lines,52,,,
Aazif (IRE),2009,Gelding,Nayef (USA),Ayun (USA),Ian Williams,83,,,129
Abanoas (USA),2010,Filly,Proud Citizen (USA),Alabaq (USA),Alan Coogan,42,,,
Abated ,2010,Filly,Dansili ,Tantina (USA),Roger Charlton,75,,,
Abbey Dore (IRE),2003,Gelding,Alderbrook ,Bone of Contention (IRE),Jonathan Geake,,,78,
Abbey Garth (IRE),2007,Gelding,Dr Massini (IRE),Elegant Gale (IRE),Nicky Richards,,,,105
Abbey Storm (IRE),2006,Gelding,Presenting ,Bobbies Storm (IRE),Donald McCain,,,120,120
Abbi Jicaro ,2007,Filly,Passing Glance ,Makeover ,Mark Shears,,,,73
Abbotsfield (IRE),2010,Filly,Sakhee's Secret ,May Day Queen (IRE),Ben Haslam,65,,,
Abbraccio ,2008,Gelding,Pivotal ,Embraced ,Fergal O'Brien,63,,,85
Abhaath (USA),2009,Gelding,Hard Spun (USA),Above Perfection (USA),Amy Weaver,68,,,
Abi Scarlet (IRE),2009,Filly,Baltic King ,Petarga ,Hughie Morrison,71,74,,
Abigails Angel ,2007,Filly,Olden Times ,Make Ready ,Brett Johnson,61,65,,
Abisko (IRE),2011,Filly,Tagula (IRE),Strawberry Sands ,Brian Ellison,55,,,
Able Dash ,2010,Gelding,Dutch Art ,Evasive Quality (FR),Michael Blake,57,,,
Able Deputy ,2007,Gelding,Lomitas ,Island Colony (USA),Kim Bailey,,,122,122
Able Master (IRE),2006,Gelding,Elusive City (USA),Foresta Verde (USA),David O'Meara,94,,,
Abnaki (IRE),2005,Gelding,Milan ,Laboc ,Jonjo O'Neill,,,,128
Above Standard (IRE),2008,Gelding,Shamardal (USA),Prealpina (IRE),Michael Easterby,87,,,
Above The Stars ,2008,Filly,Piccolo ,Swindling ,Conor Dore,66,58,,
Abracadabra Sivola (FR),2010,Gelding,Le Fou (IRE),Pierrebrune (FR),Nick Williams,,,,115
Abraham Monro ,2010,Gelding,Kyllachy ,Pendulum ,Ruth Carr,55,,,
Abruzzi ,2008,Gelding,Milan ,Shannon Native (IRE),Tom Symonds,,,,120
Absconder (IRE),2011,Colt,Shamardal (USA),Desertion (IRE),Mark Johnston,28,,,
Absent Amy (IRE),2009,Filly,Redback ,Twitcher's Delight ,Amy Weaver,73,,,
Absolute Bearing (IRE),2009,Gelding,Majestic Missile (IRE),Garnock Academy (USA),Tim Etherington,47,,,
Absolute Diamond ,2010,Filly,Monsieur Bond (IRE),Tibesti ,John Quinn,58,,,
Absolute Shambles ,2004,Gelding,Shambo,Brass Castle (IRE),Chris Gordon,,,,92
Absolutely Me (IRE),2009,Filly,Barathea (IRE),Attymon Lill (IRE),Willie Musson,47,50,,
Absolutely Right (IRE),2010,Filly,Teofilo (IRE),Dabawiyah (IRE),George Margarson,64,,,
Abundantly ,2009,Filly,Sakhee (USA),Composing (IRE),Venetia Williams,75,,,
Academy (IRE),2008,Gelding,Montjeu (IRE),Rock The Casbah (FR),N. W. Alexander,67,,,94
Academy General (IRE),2006,Gelding,Beneficial ,Discerning Air ,David Bridgwater,,,112,
Acapulco Bay ,2004,Gelding,Pursuit of Love ,Lapu-Lapu ,Dai Burchell,52,,,101
Accessallareas (IRE),2005,Gelding,Swift Gulliver (IRE),Arushofgold (IRE),Sarah-Jayne Davies,,,108,103
Accession (IRE),2009,Gelding,Acclamation ,Pivotal's Princess (IRE),Clive Cox,79,,,
Acclio (IRE),2011,Filly,Acclamation ,Hovering (IRE),Clive Brittain,73,,,
According To Them (IRE),2004,Gelding,Quws ,Any Old Music (IRE),Daniel Steele,,,69,
According To Trev (IRE),2006,Gelding,Accordion,Autumn Sky (IRE),Nigel Twiston-Davies,,,133,
Accordingtopalm (IRE),2006,Gelding,Great Palm (USA),Supreme Accord (IRE),David Rees,,,107,
Accordingtotheboss (IRE),2005,Gelding,Accordion,Wooden Pass (IRE),Nicky Richards,,,76,
Accordion Exhibit (IRE),2006,Gelding,Accordion,Curraghmeela (IRE),Fergal O'Brien,,,114,110
Ace Fighter Pilot ,2006,Gelding,Silver Patriarch (IRE),Vedra (IRE),Jim Best,,,127,130
Ace High ,2004,Gelding,Kayf Tara ,Celtic Native (IRE),David Pipe,,,132,
Ace Master ,2008,Gelding,Ballet Master (USA),Ace Maite ,Roy Bowring,67,74,,
Ace of Spies (IRE),2005,Gelding,Machiavellian (USA),Nadia ,Mandy Rowland,50,53,,
Ace of Valhalla ,2009,Gelding,Authorized (IRE),Trick of Ace (USA),Olly Stevens,79,,,
Acer Diamonds (IRE),2009,Gelding,Red Clubs (IRE),Tree House (USA),Luke Dace,63,,,
Achalas (IRE),2008,Gelding,Statue of Liberty (USA),Princess of Iona (IRE),Heather Main,75,,,
Achieved ,2003,Gelding,Lahib (USA),Equity's Darling (IRE),Daniel O'Brien,,,59,64
Achimota (IRE),2006,Gelding,Double Eclipse (IRE),Tullyfoyle (IRE),Matt Sheppard,,,116,
Acht (GER),2009,Filly,Big Shuffle (USA),Avanti Adda (GER),Noel C. Kelly,56,,,
Achtung ,2010,Colt,Montjeu (IRE),Funsie (FR),Jeremy Noseda,60,,,
Aciano (IRE),2008,Gelding,Kheleyf (USA),Blue Crystal (IRE),Brendan Powell,60,,,97
Ackertac (IRE),2005,Gelding,Anshan,Clonsingle Native (IRE),Tim Vaughan,,,145,
Acordingtoscript (IRE),2006,Gelding,Accordion,Jane Jones (IRE),Martin Todhunter,,,80,85
Acosta ,2004,Gelding,Foxhound (USA),Dancing Heights (IRE),Dr Jeremy Naylor,,,72,72
Acquaint (IRE),2011,Filly,Verglas (IRE),Azia (IRE),Richard Hannon,64,,,
Acrai Rua (IRE),2003,Gelding,Rock Hopper,Dontbelieveaword (IRE),Tim Fitzgerald,,,110,
Across The Bay (IRE),2004,Gelding,Bob's Return (IRE),The Southern (IRE),Donald McCain,,,143,143
Across The Tweed (IRE),2006,Gelding,Alderbrook ,Cash Chase (IRE),Maurice Barnes,,,64,64
Act Gold (GER),2002,Gelding,Slip Anchor,Alisa (GER),Karen George,,,,64
Act of Charity (IRE),2011,Colt,Royal Applause ,Kay Es Jay (FR),Gay Kelleway,83,,,
Act of Kalanisi (IRE),2006,Gelding,Kalanisi (IRE),Act of The Pace (IRE),Dr Richard Newland,,,132,125
Act Your Shoe Size ,2009,Filly,Librettist (USA),Howards Heroine (IRE),Keith Dalgleish,76,,,
Action Front (USA),2008,Gelding,Aptitude (USA),Palisade (USA),Derek Shaw,46,,,
Activate ,2007,Gelding,Motivator ,Princess Manila (CAN),Keith Dalgleish,70,,,
Actodos (IRE),2004,Gelding,Act One ,Really Gifted (IRE),Richard Woollacott,,,,70
Actonetaketwo ,2010,Filly,Act One ,Temple Dancer ,Ron Hodges,41,46,,
Ad Value (IRE),2008,Gelding,Ad Valorem (USA),Sopran Marida (IRE),Alan Kirtley,50,,,
Ad Vitam (IRE),2008,Gelding,Ad Valorem (USA),Love Sonnet ,Mel Brittain,58,,,
Ada Lovelace ,2010,Filly,Byron ,Satin Braid ,Dean Ivory,60,63,,
Adams Ale ,2009,Gelding,Ishiguru (USA),Aqua ,Paul Midgley,73,,,
Addiction ,2005,Filly,Alflora (IRE),Premier Princess,Jeremy Scott,,,113,
Addictive Dream (IRE),2007,Gelding,Kheleyf (USA),Nottambula (IRE),David Nicholls,100,,,
Addictive Nature (IRE),2010,Gelding,Acclamation ,Movie Queen ,Clive Cox,58,,,
Addikt (IRE),2005,Colt,Diktat ,Frond ,John Spearing,48,,,
Address Unknown ,2007,Gelding,Oasis Dream ,Return (USA),Richard Fahey,100,,,
Adelar (GER),2005,Gelding,Samum (GER),Arpista (GER),Venetia Williams,,,,125
Adhwaa ,2011,Filly,Oasis Dream ,Hammiya (IRE),J. W. Hills,92,,,
Adiator ,2008,Filly,Needwood Blade ,Retaliator ,Neville Bycroft,61,,,
Adili (IRE),2009,Gelding,Dubai Destination (USA),Adirika (IRE),Brian Ellison,52,56,,79
Adios Alonso (IRE),2006,Gelding,Saffron Walden (FR),Rosy Rockford (IRE),Rosemary Gasson,,,,90
Adiynara (IRE),2008,Filly,Halling (USA),Adirika (IRE),Neil Mulholland,69,,,113
Admirable Art (IRE),2010,Gelding,Excellent Art ,Demi Voix ,Tony Carroll,61,,,
Admirable Duque (IRE),2006,Gelding,Selkirk (USA),Stunning (USA),Dominic Ffrench Davis,67,73,,100
Admiral Blake ,2007,Gelding,Witness Box (USA),Brenda Bella (FR),Laura Young,,,,75
Admiral Boom (IRE),2006,Gelding,Beneficial ,Gleann Na Smaointe (IRE),Paul Henderson,,,,88
Admiral Hawke (IRE),2006,Gelding,Stowaway ,Classical Rachel (IRE),Brian Ellison,,,,112
Admiralofthesea (USA),2010,Gelding,Henrythenavigator (USA),Duchess Royale (IRE),Robert Eddery,62,,,
Admirals Walk (IRE),2010,Gelding,Tagula (IRE),Very Racy (USA),Barry Brennan,57,,,
Admiralty ,2009,Colt,Iffraaj ,Camp Riverside (USA),Ismail Mohammed,83,,,
Adorable Choice (IRE),2008,Filly,Choisir (AUS),Burnin' Memories (USA),Tom Dascombe,52,,,
Adore ,2011,Filly,Oasis Dream ,Fantasize ,Sir Michael Stoute,67,,,
Adrenalin Flight (IRE),2006,Gelding,Dr Massini (IRE),Chapel Queen (IRE),Seamus Mullins,,,114,
Adroitly (AUS),2007,Gelding,Octagonal (NZ),Easy Out (AUS),Saeed bin Suroor,100,,,
